,Term_NDoc_Date,Sentence,Frame
3181,18_200_2016-11-11,Die Bildungsbeteiligung von Kindern mit Migrationshintergrund im Kindergartenalter liegt 2015 sogar bei 90 Prozent.,1.1
958,18_138_2015-11-24,Wir  tun mehr für die Integration und auch mehr für die soziale Absicherung.,1.1
42,18_100_2015-04-23,"Flankiert wird diese Änderung im Strafgesetzbuch durch ein weiteres Gesetzgebungsverfahren, in dem wir das Passgesetz ändern und Gefährdern – also Personen, die unter Terrorismusverdacht stehen – den Personalausweis entziehen und sie am Verlassen des Landes hindern.",4.6
1236,18_140_2015-11-26,Wir brauchen massive und anhaltende Integrationsbemühungen.,3.4
2220,18_156_2016-02-19,Über 1 Million dieser Migranten sind im vergangenen Jahr allein zu uns nach Deutschland gekommen.,3.5
3983,18_85_2015-02-05,"Im Gegenteil: Ein neues Einwanderungsgesetz mit einem überflüssigen Punktesystem und einem aufwendigen Gesetzgebungsverfahren wäre das absolute Gegenteil von dem, was wir jetzt brauchen, auch wenn viele hier immer gerne neue Gesetze machen.",1
762,18_127_2015-10-01,"Und, weil das Thema in den letzten Tagen aufgekommen ist: Wer glaubt, er könne beim Mindestlohn Migranten gegen andere Arbeitnehmer ausspielen, ist ein sozialer Brandstifter.",4.4
3050,18_187_2016-09-08,"Meine Damen und Herren, über die Folgen der massiven Zuwanderung im vergangenen Jahr ist hier schon viel gesagt worden.",x
766,18_127_2015-10-01,Andernfalls wird an anderen Orten als unse­ ren Grenzen unser Asylrecht ausgehöhlt.,4.3
287,18_119_2015-09-08,Diese Unterscheidung ist die Voraussetzung für eine breite Akzeptanz des Grundrechts auf Asyl in unserer Bevölkerung.,1
1430,18_144_2015-12-04,Ebenso müssen die in der Resolution aufgeführten Maßnahmen zur Unterbindung der Finanzierung des Terrorismus konsequent und von allen Staaten angewendet werden.,4.6
1805,18_149_2016-01-14,"Die Voraussetzungen für die Bewältigung der hohen Fallzahlen – seien es nun Asylanträge, Folgeanträge, was auch immer – haben wir mit der Aufstockung des Personals geschaffen.",x
3263,18_201_2016-11-22,Die Integration aller Menschen in Deutschland ist der zweite Teil der doppelten Integrationsaufgabe.,x
4214,18_99_2015-04-22,"Es ist klar, dass wir es bei dem Schlepperproblem mit einem Problem zu tun haben, bei dem insbesondere in Libyen organisierte Kriminalität dahintersteckt.",4.6
3011,18_186_2016-09-07,"Was wir wissen, ist, dass diejenigen, die es schaffen, meist keine Chance auf Asyl oder auf ein Bleiberecht haben.",2.5
329,18_119_2015-09-08,"Denn wie wollen Sie bitte schön erklären, dass man Syrer nicht nach Ungarn, Italien oder Bulgarien abschieben darf, eritreische oder irakische Flüchtlinge aber schon?",2.5
1331,18_143_2015-12-03,Kobane wäre ohne die Luftschläge der USA und ohne die militärische Unterstützung der Peschmerga heute noch in den Händen der Dschihadisten.,x
2075,18_155_2016-02-18,"Wir müssen uns mit allen rechtsstaatlichen und gesellschaftlichen Mitteln dafür einsetzen, dass Rassismus, menschenverachtende Hetze und Gewalt zurückgedrängt werden.",x
2364,18_161_2016-03-17,"Deswegen ist es wichtig, dass wir für die Integration von Menschen sorgen.",x
1725,18_148_2016-01-13,"Ich habe aus Ihren Bemerkungen herausgehört, dass Sie sehr an einer gelingenden Integration interessiert sind.",3
2471,18_166_2016-04-27,Die hohe Zuwanderung wirkt sich merkbar auf den Staatshaushalt aus.,4
1440,18_144_2015-12-04,Dazu gehört aber auch ein umfassendes Konzept zur Bekämpfung von Fluchtursachen.,2
4102,18_85_2015-02-05,"Denn wir haben beim Thema Familiennachzug, beim Staatsangehörigkeitsrecht, beim Arbeitsmarktzugang für Asylbewerber und Flüchtlinge und auch beim Ausbau der Integrationskurse bereits gut funktionierende Lösungen.",x
3446,18_210_2016-12-16,"Es stimmt, dass es dem Recht nach unterschiedliche Gesetze für Schutz und Einwanderung gibt.",x
1365,18_143_2015-12-03,"Wir wollen, dass endlich wieder europäisches und nationales Asylrecht konsequent angewendet wird.",x
799,18_128_2015-10-02,"Die Frage ist also, wie Integration gemeinsam erfolgreich gestaltet werden kann.",x
2671,18_174_2016-06-03,"Pro Asyl, Herr Minister de Maizière, hat gesagt, dass Ihr Gesetzentwurf rechte Stimmung in Deutschland bedient, indem suggeriert wird, dass sich Flüchtlinge nicht integrieren wollen.",4
